experiment,prompt_tokens,batch_size,generated_tokens,ttft_ms,tpot_mean_ms,tpot_p50_ms,tpot_p95_ms,tpot_p99_ms,aggregate_tps,total_tps_including_ttft,pwr_w,gpu_util_pct,mem_util_pct,enc_pct,dec_pct,dmon_log
batch_size,256,1,512,24.645106052048504,12.094625780803613,12.053551035933197,12.5633220304735,12.765397282782942,82.681351049917,82.51411642422039,203.28571428571428,89.14285714285714,66.42857142857143,0.0,0.0,results/labs-01-sweep-512/dmon/batch_1.log
batch_size,256,2,512,41.028961073607206,13.7504491193672,13.744408963248134,14.269144972786307,14.480518840719014,145.44979459493032,144.88840100305075,165.875,78.25,53.875,0.0,0.0,results/labs-01-sweep-512/dmon/batch_2.log
batch_size,256,4,512,71.73248403705657,13.302742379650095,13.320027035661042,13.78935546381399,13.961063243914396,300.6898792627158,298.1322839246669,165.875,77.625,56.5,0.0,0.0,results/labs-01-sweep-512/dmon/batch_4.log
batch_size,256,8,512,139.76862793788314,13.50993481022716,13.512967969290912,14.074076490942389,14.250251871999353,592.1568173625766,581.5418407381345,173.125,79.625,57.75,0.0,0.0,results/labs-01-sweep-512/dmon/batch_8.log
batch_size,256,16,512,268.85977189522237,14.453876416842268,14.456700067967176,15.190023521427065,15.377624111715704,1106.9694757702594,1070.1795000939037,189.625,78.25,55.25,0.0,0.0,results/labs-01-sweep-512/dmon/batch_16.log
batch_size,256,32,512,550.9444400668144,17.01145743246786,16.959305037744343,17.727511993143708,17.86361272679642,1881.0851525822347,1772.4314069010247,201.4,91.7,57.8,0.0,0.0,results/labs-01-sweep-512/dmon/batch_32.log
batch_size,256,64,512,1128.9469479816034,19.413065788593077,19.332718919031322,20.85808350238949,21.306692087091506,3296.7487308267278,2965.6919278345918,214.08333333333334,88.83333333333333,58.0,0.0,0.0,results/labs-01-sweep-512/dmon/batch_64.log
batch_size,256,128,512,2256.8979510106146,25.5618803522052,25.522868963889778,30.727008474059403,31.312696705572307,5007.456346573406,4278.080783672301,253.5,86.1875,62.125,0.0,0.0,results/labs-01-sweep-512/dmon/batch_128.log
