# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0    131     48      -     89     66      0      0      0      0  14801   2820      0      0  10051     68      0      -      -      0     14     26 
    0    145     57      -     31      2      0      0      0      0  14801   2805      0      0  11253     68      0      -      -      0    452     70 
    0    190     53      -     88     64      0      0      0      0  14801   2805      0      0  11274     68      0      -      -      0    342     88 
    0    186     54      -     89     64      0      0      0      0  14801   2805      0      0  11276     68      0      -      -      0    446     86 
    0    187     54      -     88     64      0      0      0      0  14801   2805      0      0  11277     68      0      -      -      0    446     69 
    0    187     54      -     89     65      0      0      0      0  14801   2805      0      0  11275     68      0      -      -      0    358     75 
    0    189     54      -     89     65      0      0      0      0  14801   2805      0      0  11274     68      0      -      -      0    437     62 
    0    188     54      -     89     64      0      0      0      0  14801   2805      0      0  11270     68      0      -      -      0    322     66 
    0    185     54      -     69     49      0      0      0      0  14801   2805      0      0  11266     68      0      -      -      0    110     25 
