# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0    107     46      -      5      2      0      0      0      0  14801   2820      0      0   9159     68      0      -      -      0     23     26 
    0    145     51      -     88     64      0      0      0      0  14801   2812      0      0   9457     68      0      -      -      0    464    109 
    0    174     51      -     88     64      0      0      0      0  14801   2812      0      0   9457     68      0      -      -      0    447     90 
    0    174     51      -     88     64      0      0      0      0  14801   2812      0      0   9457     68      0      -      -      0    371    108 
    0    175     51      -     89     64      0      0      0      0  14801   2812      0      0   9457     68      0      -      -      0    357     72 
    0    175     52      -     88     64      0      0      0      0  14801   2812      0      0   9457     68      0      -      -      0    566     88 
    0    176     52      -     88     65      0      0      0      0  14801   2812      0      0   9457     68      0      -      -      0    469     69 
    0    176     52      -     89     65      0      0      0      0  14801   2812      0      0   9457     68      0      -      -      0     23     25 
