# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     96     47      -      5      2      0      0      0      0  14801   2820      0      0   9457     68      0      -      -      0     14      6 
    0    143     52      -     72     25      0      0      0      0  14801   2805      0      0  10051     68      0      -      -      0    468     70 
    0    180     52      -     88     64      0      0      0      0  14801   2805      0      0  10051     68      0      -      -      0    354     72 
    0    181     52      -     89     65      0      0      0      0  14801   2805      0      0  10051     68      0      -      -      0    453     91 
    0    181     53      -     89     66      0      0      0      0  14801   2805      0      0  10051     68      0      -      -      0    448    108 
    0    182     53      -     89     66      0      0      0      0  14801   2805      0      0  10051     68      0      -      -      0    368     89 
    0    182     53      -     89     66      0      0      0      0  14801   2805      0      0  10051     68      0      -      -      0    551     66 
    0    182     53      -     89     66      0      0      0      0  14801   2805      0      0  10051     68      0      -      -      0    129     26 
