# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0    129     53      -      4      2      0      0      0      0  14801   2812      0      0   9102     68      0      -      -      0     14      6 
    0    152     58      -     88     64      0      0      0      0  14801   2782      0      0   9446     68      0      -      -      0    444     67 
    0    189     58      -     89     64      0      0      0      0  14801   2805      0      0   9446     68      0      -      -      0    343     69 
    0    190     58      -     88     64      0      0      0      0  14801   2805      0      0   9446     68      0      -      -      0    363     86 
    0    190     58      -     88     64      0      0      0      0  14801   2805      0      0   9446     68      0      -      -      0    331     71 
    0    192     58      -     88     65      0      0      0      0  14801   2805      0      0   9446     68      0      -      -      0    333     92 
    0    192     58      -     89     65      0      0      0      0  14801   2805      0      0   9446     68      0      -      -      0    348     85 
    0    192     58      -     89     65      0      0      0      0  14801   2805      0      0   9446     68      0      -      -      0    331     81 
