# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     94     52      -      4      2      0      0      0      0  14801   2812      0      0   8974     68      0      -      -      0     18      6 
    0    148     56      -     89     65      0      0      0      0  14801   2805      0      0   9062     68      0      -      -      0    368     91 
    0    183     57      -     89     65      0      0      0      0  14801   2805      0      0   9062     68      0      -      -      0    384     70 
    0    185     57      -     89     66      0      0      0      0  14801   2805      0      0   9062     68      0      -      -      0    443     76 
    0    184     57      -     90     66      0      0      0      0  14801   2805      0      0   9062     68      0      -      -      0    380     69 
    0    185     57      -     88     65      0      0      0      0  14801   2805      0      0   9062     68      0      -      -      0    355     73 
    0    184     57      -     90     65      0      0      0      0  14801   2805      0      0   9082     68      0      -      -      0    370     67 
    0    184     57      -     89     65      0      0      0      0  14801   2805      0      0   9102     68      0      -      -      0    111     46 
