experiment,prompt_tokens,batch_size,generated_tokens,ttft_ms,tpot_mean_ms,tpot_p50_ms,tpot_p95_ms,tpot_p99_ms,aggregate_tps,total_tps_including_ttft
prompt_length,16,1,512,13.902675942517817,11.980755448044293,11.993371997959912,12.551844993140548,12.732671422418207,83.46719072404046,83.44104738829033
prompt_length,256,1,512,27.976747951470315,12.00117745004784,12.03831797465682,12.558033515233546,12.72683033021167,83.32515739911952,83.10907916185761
prompt_length,1024,1,512,73.24314094148576,12.231025955076612,12.249067891389132,12.770375527907163,12.972265435382724,81.75929015872457,80.97041263270039
prompt_length,4096,1,512,297.3511189920828,12.54674179639864,12.54000305198133,13.143568998202682,13.64612436154857,79.7019669510562,76.31839835332958
