# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0    114     55      -     16      2      0      0      0      0  14801   2812      0      0   9400     68      0      -      -      0     18     26 
    0    140     60      -     88     65      0      0      0      0  14801   2790      0      0   9400     68      0      -      -      0    358     93 
    0    187     60      -     89     65      0      0      0      0  14801   2805      0      0   9400     68      0      -      -      0    474    106 
    0    188     60      -     89     66      0      0      0      0  14801   2805      0      0   9400     68      0      -      -      0    354     74 
    0    189     60      -     89     66      0      0      0      0  14801   2805      0      0   9400     68      0      -      -      0    473    106 
    0    189     61      -     88     66      0      0      0      0  14801   2805      0      0   9400     68      0      -      -      0    543     89 
    0    189     61      -     89     66      0      0      0      0  14801   2805      0      0   9400     68      0      -      -      0    547     86 
    0    189     61      -     89     66      0      0      0      0  14801   2805      0      0   9400     68      0      -      -      0     15      6 
