experiment,prompt_tokens,batch_size,generated_tokens,ttft_ms,tpot_mean_ms,tpot_p50_ms,tpot_p95_ms,tpot_p99_ms,aggregate_tps
prompt_length,16,1,128,14.193228096701205,11.971913054438792,11.892058071680367,12.593752355314791,12.72832895629108,83.40793423625983
prompt_length,256,1,128,31.50343697052449,12.057257590698093,12.04049400985241,12.549645500257611,12.868192964233458,81.90557670371227
prompt_length,1024,1,128,78.75071198213845,12.140263645638397,12.108416995033622,12.519809079822153,12.661774067673832,78.98483774764671
prompt_length,4096,1,128,319.6217070799321,12.436588030807146,12.435327982529998,12.846395967062563,13.015705849975348,67.40146951880652
