experiment,prompt_tokens,batch_size,generated_tokens,ttft_ms,tpot_mean_ms,tpot_p50_ms,tpot_p95_ms,tpot_p99_ms,aggregate_tps,pwr_w,gpu_util_pct,mem_util_pct,enc_pct,dec_pct,dmon_log
batch_size,256,1,128,26.15188097115606,12.000772079056876,11.958838906139135,12.486886663828045,12.649859455414116,82.56733131168326,188.5,90.0,68.0,0.0,0.0,results/labs-01-sweep/dmon/batch_1.log
batch_size,256,2,128,42.621689033694565,13.657031944718241,13.622086960822344,14.073761773761362,14.163459471892565,144.05777874687524,154.5,89.5,64.5,0.0,0.0,results/labs-01-sweep/dmon/batch_2.log
batch_size,256,4,128,77.39789399784058,13.346173795028113,13.333754031918943,13.80360007751733,13.965720834676176,288.8800424696674,159.0,70.0,40.0,0.0,0.0,results/labs-01-sweep/dmon/batch_4.log
batch_size,256,8,128,150.92965099029243,13.362299849821886,13.36927607189864,13.853751635178924,13.995576233137399,554.1300260248793,170.33333333333334,60.666666666666664,43.666666666666664,0.0,0.0,results/labs-01-sweep/dmon/batch_8.log
batch_size,256,16,128,293.6339069856331,14.243150590992292,14.245935948565602,14.624578168150038,14.663296942599118,974.0719770660851,146.0,32.333333333333336,22.333333333333332,0.0,0.0,results/labs-01-sweep/dmon/batch_16.log
batch_size,256,32,128,600.3283550962806,16.732596275286646,16.731522977352142,17.0244536944665,17.15971696190536,1502.9162581618966,189.33333333333334,90.0,59.0,0.0,0.0,results/labs-01-sweep/dmon/batch_32.log
